V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
''1'',0,0,0,0,0,0,0,0,0
''2'',"-0,0162","-0,027731877","0,004878049","-0,003052625","-0,012490816","-0,009090909","-0,011728931","0,049381315","-0,12553597"
''3'',"-0,0005","0,013186813","-0,024599766","-0,022667119","0,01709196","0,001135074","-0,027255252","-0,035317624","-0,06010101"
''4'',"0,0017","0,001062323","-0,031164439","-0,012854001","-0,018636587","-0,030007794","-0,021243778","0,002169579","-0,030981515"
''5'',"-0,0043","-0,012621916","0,019115324","0,005128907","-0,015944195","-0,06120761","0,022446112","0,034915964","-0,052328767"
''6'',"-0,0237","0,04329331","-0,009166999","-0,033427562","0,055307131","0,030861723","-0,048921639","0,001017582","-0,159834763"
''7'',"-0,0001","-0,01285615","-0,006579475","0,016678249","-0,000470921","-0,026748971","-0,033163739","-0,044338175","0,033179724"
''8'',"-0,0065","0,015731874","0,011892492","0,024935628","-0,03433999","-0,009555463","0,029727587","0,006568915","0,027196653"
''9'',"-0,0061","-0,000889984","-0,033852459","0,020638397","0,016291327","-0,005430242","-0,005762331","0,009124194","0,036012676"
''10'',"0,0302","-0,028444695","0,025714742","0,018625855","-0,050062893","0,022857143","0,042906694","0,040430515","0,000288018"
''11'',"-0,0239","0,001195499","-0,027656955","-0,009466833","-0,006329114","0,006085193","-0,056043956","-0,023749715","0,070663812"
''12'',"0,0463","0,00427141","0,02434142","-0,008018555","-0,007910181","0,09375","0,055363322","0,045969499","-0,126658625"
''13'',"0,0096","-0,017672629","0,038864091","0,046686462","0,007848101","0,010909091","0,000449625",0,"-0,03625"
''14'',"0,0018","0,005034033","0,035122893","0,004465409","-0,007653061","0,033391916","0,009523483","-0,016104931","-0,045068583"
''15'',"0,0067","0,038385491","-0,012556391","-0,014612979","0,031859718","-0,016071429","0,010474576","0,097903145","-0,291983122"
''16'',"-0,0102","-0,021592255","-0,029252438","-0,021444401","-0,014532699","-0,026016856","-0,045061641","0,123375202",0
''17'',"0,0025","-0,025646521","-0,00953125","0,015907633","-0,012173472","0,004014599","0,026318513","-0,014699352","-0,120567376"
''18'',"-0,0022","0,003204443","0,010513296","-0,001413155","0,011283852","0,003636364","-0,006631944","0,00919611","0,051144011"
''19'',"-0,0217","-0,018937745","-0,022123894","-0,048208995","-0,02624807","-0,001821494","-0,007380461","0,004293538","-0,172540768"
''20'',"0,0141","-0,010558733","0,018914729","-0,004463682","0,011698881","0,075446278","0,007636502","0,017307444","-0,150030248"
''21'',"-0,0201","-0,009549189","-0,006632852","-0,008732433","0,004556962","-0,008834523","-0,01013324","-0,023215859","0,125396825"
''22'',"-0,0116","0,001773443","-0,000702796","-0,00742268","-0,012820513","0,007419899","-0,012784091",0,"-0,017770598"
''23'',"-0,0016","0,02485949","0,0177188","0,030969031","0,026703269","-0,018900344","0,02594258",0,"0,176131322"
''24'',"0,0085","-0,009823183","0,012423301","0,036140711","0,017169487","0,060684312","0,012434242","0,008993277","0,106264869"
''25'',"0,0116","0,012005751","0,034661792","-0,02110645","0,024641148","0,075223881","0,017651007","-0,012598913","0,057900635"
''26'',"-0,0339","0,013894797","-0,048133671","-0,041720724","-0,00143747","-0,010558069","-0,03239217","0,025586905","-0,124789916"
''27'',"-0,0027","0,004516584","0,026343284","-0,031338028","0,004531362","0,000904159","0,013263597","0,010021322","0,009571369"
''28'',"-0,0342","0,012543554","-0,000746826","-0,014285714","0,004510921","-0,006369427","0,001876621","-0,008341933","-0,064687638"
''29'',"-0,0285","-0,005888126","0,000746269","-0,02189781","0,002368546","0,005429864","-0,046826446","-0,031125299","-0,094037809"
''30'',"-0,0175","-0,007485876","-0,083003314","-0,033962264","-0,012712881","-0,004545455","-0,056849496","0,009442663","0,101089325"
''31'',"-0,0185","-0,014835519","-0,029196473","0,018518519","-0,021813725","-0,012269939","-0,009411675","0,00463388","0,00821089"
